date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:44	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.13c.delayed	(from https://sites.google.com/site/deansbook/the-bdl-corpus)
14:52:44	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.13d6fb5.delayed	(from https://sites.google.com/site/deansbook/the-bdl-corpus)
14:52:44	11379/11379	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/the-bdl-corpus/bdl-and-later-scottish-collections	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbuse7fe3.html	(from https://sites.google.com/site/deansbook/the-bdl-corpus)
14:52:45	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.13f.delayed	(from https://sites.google.com/site/deansbook/scottish-gaelic-features-in-the-bdl-texts)
14:52:45	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.1406fb5.delayed	(from https://sites.google.com/site/deansbook/scottish-gaelic-features-in-the-bdl-texts)
14:52:45	11380/11380	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/the-bdl-corpus/conclusions	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbuse2314.html	(from https://sites.google.com/site/deansbook/the-bdl-corpus)
14:52:46	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.142.delayed	(from https://sites.google.com/site/deansbook/scottish-gaelic-features-in-the-bdl-texts)
14:52:46	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.1436fb5.delayed	(from https://sites.google.com/site/deansbook/scottish-gaelic-features-in-the-bdl-texts)
14:52:46	11380/11380	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/scottish-gaelic-features-in-the-bdl-texts/negative-particle	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbused1cf.html	(from https://sites.google.com/site/deansbook/scottish-gaelic-features-in-the-bdl-texts)
14:52:47	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.145.delayed	(from https://sites.google.com/site/deansbook/scottish-gaelic-features-in-the-bdl-texts)
